,date,state,n_killed,n_injured
164474,2017-01-01,Tennessee,1,0
164475,2017-01-01,Nebraska,0,0
164476,2017-01-01,Nebraska,0,1
164477,2017-01-01,Pennsylvania,0,1
164478,2017-01-01,New Mexico,0,0
164479,2017-01-01,Virginia,0,1
164480,2017-01-01,New Mexico,0,0
164481,2017-01-01,New Mexico,0,0
164482,2017-01-01,Ohio,0,1
164483,2017-01-01,Indiana,0,0
164484,2017-01-01,Indiana,0,0
164485,2017-01-01,Texas,0,0
164486,2017-01-01,Texas,0,0
164487,2017-01-01,Indiana,0,1
164488,2017-01-01,Mississippi,0,1
164489,2017-01-01,Virginia,0,2
164490,2017-01-01,Indiana,0,0
164491,2017-01-01,New Jersey,0,3
164492,2017-01-01,Pennsylvania,1,0
164493,2017-01-01,New York,0,1
164494,2017-01-01,Maryland,0,1
164495,2017-01-01,California,0,0
164496,2017-01-01,Florida,0,7
164497,2017-01-01,South Carolina,0,1
164498,2017-01-01,New York,0,1
164499,2017-01-01,Virginia,0,1
164500,2017-01-01,South Carolina,0,0
164501,2017-01-01,Louisiana,3,0
164502,2017-01-01,Colorado,0,1
164503,2017-01-01,Georgia,0,1
164504,2017-01-01,Florida,0,0
164505,2017-01-01,Colorado,0,2
164506,2017-01-01,New York,0,1
164507,2017-01-01,Florida,0,1
164508,2017-01-01,Illinois,0,0
164509,2017-01-01,Indiana,0,0
164510,2017-01-01,Florida,0,0
164511,2017-01-01,Kentucky,0,0
164512,2017-01-01,Florida,0,0
164513,2017-01-01,New York,0,1
164514,2017-01-01,Louisiana,0,0
164515,2017-01-01,Michigan,2,0
164516,2017-01-01,Mississippi,0,5
164517,2017-01-01,Iowa,1,0
164518,2017-01-01,California,1,0
164519,2017-01-01,California,1,0
164520,2017-01-01,Washington,0,0
164521,2017-01-01,Texas,1,1
164522,2017-01-01,North Carolina,0,0
164523,2017-01-01,Texas,1,0
164524,2017-01-01,New York,0,0
164525,2017-01-01,New York,0,0
164526,2017-01-01,New York,0,1
164527,2017-01-01,Georgia,1,0
164528,2017-01-01,Florida,0,0
164529,2017-01-01,Indiana,0,0
164530,2017-01-01,North Carolina,0,1
164531,2017-01-01,Wisconsin,0,0
164532,2017-01-01,Maryland,1,0
164533,2017-01-01,Florida,0,2
164534,2017-01-01,Florida,0,0
164535,2017-01-01,Florida,0,1
164536,2017-01-01,Tennessee,0,1
164537,2017-01-01,Illinois,1,0
164538,2017-01-01,Virginia,0,1
164539,2017-01-01,Texas,1,3
164540,2017-01-01,Illinois,0,0
164541,2017-01-01,South Carolina,4,0
164542,2017-01-01,Illinois,0,0
164543,2017-01-01,Oregon,1,0
164544,2017-01-01,Maryland,0,0
164545,2017-01-01,Maryland,0,0
164546,2017-01-01,Florida,0,0
164547,2017-01-01,Pennsylvania,0,0
164548,2017-01-01,Illinois,0,0
164549,2017-01-01,South Carolina,0,1
164550,2017-01-01,Maryland,0,1
164551,2017-01-01,Louisiana,0,1
164552,2017-01-01,Virginia,0,1
164553,2017-01-01,Georgia,0,0
164554,2017-01-01,Ohio,0,1
164555,2017-01-01,Virginia,0,0
164556,2017-01-01,Missouri,1,0
164557,2017-01-01,Florida,0,0
164558,2017-01-01,Illinois,0,0
164559,2017-01-01,Louisiana,0,0
164560,2017-01-01,West Virginia,0,0
164561,2017-01-01,Massachusetts,0,1
164562,2017-01-01,Connecticut,1,0
164563,2017-01-01,Massachusetts,0,0
164564,2017-01-01,Maryland,1,0
164565,2017-01-01,Kentucky,0,0
164566,2017-01-01,Texas,1,1
164567,2017-01-01,Wisconsin,0,0
164568,2017-01-01,New Jersey,0,1
164569,2017-01-01,New Jersey,0,1
164570,2017-01-01,Delaware,0,1
164571,2017-01-01,Iowa,0,0
164572,2017-01-01,Oklahoma,0,1
164573,2017-01-01,Virginia,0,1
164574,2017-01-01,Florida,0,0
164575,2017-01-01,Florida,0,0
164576,2017-01-01,Florida,0,0
164577,2017-01-01,Florida,0,0
164578,2017-01-01,South Carolina,1,0
164579,2017-01-01,South Dakota,1,2
164580,2017-01-01,New Jersey,0,0
164581,2017-01-01,Wisconsin,0,1
164582,2017-01-01,Illinois,0,1
164583,2017-01-01,Illinois,0,0
164584,2017-01-01,California,0,0
164585,2017-01-01,Ohio,0,0
164586,2017-01-01,California,0,0
164587,2017-01-01,Ohio,0,0
164588,2017-01-01,Texas,0,1
164589,2017-01-01,Iowa,0,1
164590,2017-01-01,Florida,0,0
164591,2017-01-01,Ohio,1,0
164592,2017-01-01,Louisiana,0,0
164593,2017-01-01,Wisconsin,1,1
164594,2017-01-01,Arkansas,0,1
164595,2017-01-01,Texas,0,1
164596,2017-01-01,Maine,0,0
164597,2017-01-01,Oklahoma,1,1
164598,2017-01-01,Missouri,0,3
164599,2017-01-01,Colorado,0,1
164600,2017-01-01,North Carolina,0,1
164601,2017-01-01,Illinois,0,3
164602,2017-01-01,Florida,0,0
164603,2017-01-01,Florida,0,0
164604,2017-01-01,Kentucky,0,0
164605,2017-01-01,North Carolina,0,2
164606,2017-01-01,Ohio,0,1
164607,2017-01-01,Missouri,0,0
164608,2017-01-01,New Jersey,0,0
164609,2017-01-01,Oklahoma,2,0
164610,2017-01-01,Massachusetts,0,0
164611,2017-01-01,Ohio,0,0
164612,2017-01-01,North Carolina,0,0
164613,2017-01-01,West Virginia,0,0
164614,2017-01-01,California,1,0
164615,2017-01-01,Georgia,1,0
164616,2017-01-01,Illinois,0,1
164617,2017-01-01,Louisiana,0,0
164618,2017-01-01,Illinois,0,1
164619,2017-01-01,Illinois,0,0
164620,2017-01-01,Illinois,0,2
164621,2017-01-01,Georgia,0,0
164622,2017-01-01,Rhode Island,0,0
164623,2017-01-01,Kansas,0,3
164624,2017-01-01,New York,1,0
164625,2017-01-01,Florida,0,0
164626,2017-01-01,Florida,0,0
164627,2017-01-01,Florida,0,0
164628,2017-01-01,Indiana,0,1
164629,2017-01-01,Texas,1,0
164630,2017-01-01,Florida,0,0
164631,2017-01-01,Oregon,0,0
164632,2017-01-01,Virginia,0,1
164633,2017-01-01,Florida,0,0
164634,2017-01-01,North Dakota,0,0
164635,2017-01-01,New Jersey,0,1
164636,2017-01-01,New York,0,1
164637,2017-01-01,New York,0,1
164638,2017-01-01,New York,0,1
164639,2017-01-01,Maryland,0,0
164640,2017-01-01,Alabama,1,0
164641,2017-01-01,District of Columbia,0,1
164642,2017-01-01,New York,1,0
164643,2017-01-01,New Jersey,0,0
164644,2017-01-01,Illinois,0,0
164645,2017-01-01,Massachusetts,0,2
164646,2017-01-01,Illinois,0,0
164647,2017-01-01,Mississippi,0,1
164648,2017-01-01,Michigan,0,0
164649,2017-01-01,Arizona,0,1
164650,2017-01-01,Arizona,0,1
164651,2017-01-01,Ohio,1,0
164652,2017-01-01,Virginia,0,0
164653,2017-01-01,Pennsylvania,0,0
164654,2017-01-01,New York,0,0
164655,2017-01-01,Texas,0,1
164656,2017-01-01,New York,0,0
164657,2017-01-01,New Jersey,0,0
164658,2017-01-01,Tennessee,0,0
164659,2017-01-01,Massachusetts,0,2
164660,2017-01-01,Missouri,0,1
164661,2017-01-01,Ohio,1,0
164662,2017-01-01,Missouri,0,0
164663,2017-01-01,Illinois,0,1
164664,2017-01-01,Washington,1,0
164665,2017-01-01,Tennessee,1,0
164666,2017-01-01,North Carolina,2,1
164667,2017-01-01,Virginia,1,0
164668,2017-01-01,Ohio,1,0
164669,2017-01-01,Louisiana,1,0
164670,2017-01-01,Illinois,0,1
164671,2017-01-01,California,0,0
164672,2017-01-01,Louisiana,1,0
164673,2017-01-01,California,0,0
164674,2017-01-01,Florida,0,0
164675,2017-01-01,Arkansas,0,3
164676,2017-01-01,Virginia,0,0
164677,2017-01-01,Illinois,0,1
164678,2017-01-01,Illinois,0,1
164679,2017-01-01,Illinois,0,1
164680,2017-01-01,Texas,1,0
164681,2017-01-01,Illinois,0,1
164682,2017-01-01,Illinois,0,1
164683,2017-01-01,Illinois,0,1
164684,2017-01-01,Texas,0,1
164685,2017-01-01,Pennsylvania,1,0
164686,2017-01-01,Texas,0,0
164687,2017-01-01,Virginia,0,1
164688,2017-01-01,Arkansas,0,2
164689,2017-01-01,Ohio,0,1
164690,2017-01-01,Illinois,1,0
164691,2017-01-01,Ohio,0,1
164692,2017-01-01,Texas,0,1
164693,2017-01-01,Ohio,0,1
164694,2017-01-01,South Carolina,0,1
164695,2017-01-01,West Virginia,0,0
164697,2017-01-01,West Virginia,0,0
164698,2017-01-01,Tennessee,0,0
164699,2017-01-01,Illinois,0,0
164700,2017-01-01,Florida,0,0
164701,2017-01-01,Kansas,0,0
164702,2017-01-01,Massachusetts,0,0
164703,2017-01-01,Massachusetts,0,0
164704,2017-01-01,Missouri,1,0
164705,2017-01-01,Mississippi,0,1
164706,2017-01-01,Florida,0,1
164707,2017-01-01,Tennessee,1,0
164708,2017-01-01,Ohio,0,1
164709,2017-01-01,Virginia,0,0
164710,2017-01-01,North Carolina,0,2
164711,2017-01-01,Ohio,1,1
164712,2017-01-01,Illinois,0,1
164713,2017-01-01,Illinois,0,1
164714,2017-01-01,Illinois,0,0
164715,2017-01-01,Mississippi,0,2
164716,2017-01-01,Mississippi,1,0
164717,2017-01-01,Illinois,0,1
164718,2017-01-01,Illinois,0,3
164719,2017-01-01,Massachusetts,0,0
164720,2017-01-01,Illinois,0,1
164721,2017-01-01,Alabama,1,0
164722,2017-01-01,Texas,0,0
164723,2017-01-01,Illinois,0,3
164724,2017-01-01,Louisiana,0,1
164725,2017-01-01,Oregon,0,1
164726,2017-01-01,Missouri,0,0
164727,2017-01-01,Missouri,0,1
164728,2017-01-01,Illinois,0,0
164729,2017-01-01,Texas,0,0
164730,2017-01-01,New York,0,0
164731,2017-01-01,Illinois,0,1
164732,2017-01-01,California,0,0
164733,2017-01-01,Texas,0,1
164734,2017-01-01,Illinois,0,0
164735,2017-01-01,Massachusetts,0,0
164736,2017-01-01,Illinois,0,0
164737,2017-01-01,Illinois,0,0
164738,2017-01-01,Illinois,0,0
164739,2017-01-01,Texas,0,1
164740,2017-01-01,Texas,1,1
164741,2017-01-01,Tennessee,0,1
164742,2017-01-01,Illinois,0,0
164743,2017-01-01,Texas,0,0
164744,2017-01-01,Texas,0,0
164745,2017-01-01,Maryland,2,1
164746,2017-01-01,Illinois,0,0
164747,2017-01-01,Illinois,0,0
164748,2017-01-01,Illinois,0,0
164749,2017-01-01,Illinois,0,0
164750,2017-01-01,New York,0,1
164751,2017-01-01,Illinois,0,0
164752,2017-01-01,Indiana,0,1
